No,Company Name,Location,Employment,Domestic Investment (RM -Million),Foreign Investment (RM-Million),Total Capital Investment(RM-Million),year,period_type,is_partial_year,source_file,source_sheet,Unnamed: 0,Obs,Name,Total Employment,Domestic Investment (RM Mil),Foreign Investment (RM Mil),Total Capital Investment (RM Mil),Country 1,%,Country 2,%.1,Ultimate Country,Product,Domestic Investment (RM),Foreign Investment (RM),Total Capital Investment (RM),Location (Activity),Activity,No (Projects),Name of Company,Local Employment,Foreign Employment,Total Investment (RM),Sector
1.0,Intel Technology Sdn. Bhd,Kulim High Tech Ind. Park,246.0,0.0,5100.0,5100.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
2.0,XSD International Paper Sdn. Bhd.,Padang Serai,1656.0,0.0,2029.0,2029.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Music Tribe Hi-Tech Electronics Sdn. Bhd,Kulim High Tech Ind. Park,,0.0,1960.0,1960.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Tijan Galaxy Aerospace Consortium Sdn. Bhd.,Langkawi,38.0,505.0,0.0,505.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Schaefer Kalk (Malaysia) Sdn. Bhd.,Kuala Ketil IE,,0.0,414.78,414.78,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Boustead Langkawi Shipyard Sdn. Bhd.,Langkawi,75.0,100.0,0.0,100.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Lysa Technology Sdn. Bhd.,Sungai Petani,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Nanwang Pack (M) Sdn. Bhd.,Bedong,108.0,0.0,93.58,93.58,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
9.0,SMT Technologies Sdn. Bhd.,Bakar Arang IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
10.0,SMT Technologies Sdn. Bhd.,Bakar Arang IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
11.0,THI Hardware Trading Sdn. Bhd.,Sungai Petani,57.0,,,39.02,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
12.0,Southern Cable Sdn. Bhd.,Kuala Ketil IE,40.0,,,37.21,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Morrissey Assembly Solutions Sdn. Bhd.,Sungai Lalang (MIEL) IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
14.0,Morrissey Assembly Solutions Sdn. Bhd.,Sungai Lalang (MIEL) IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
15.0,TGW Plastic Packaging Sdn. Bhd.,Sungai Petani IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
16.0,SMT Technologies Sdn. Bhd,Bakar Arang IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
17.0,SMT Technologies Sdn. Bhd,Bakar Arang IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
18.0,SMT Technologies Sdn. Bhd.,Bakar Arang IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
19.0,SMT Technologies Sdn. Bhd.,Bakar Arang IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
20.0,Morris Innovation Sdn Bhd,Sungai Petani IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
21.0,Best Staples Sdn. Bhd.,Kulim IE,96.0,0.0,18.59,18.59,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
22.0,Platinum Phase Sdn. Bhd.,Taman Ria Jaya Light IE,27.0,17.88,0.0,17.88,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
23.0,Grey Matter Plastic Industries Sdn. Bhd.,Bakar Arang IE,65.0,,,16.75,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
24.0,Magic Paper Products Sdn Bhd,Sungai Petani IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
25.0,Platinum Phase Sdn. Bhd.,Sungai Petani,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
26.0,Swiss Lab Biotech Sdn Bhd,Alor Star,125.0,14.87,0.0,14.87,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
27.0,Swift Bridge Technologies (M) Sdn. Bhd.,Sungai Petani IE,18.0,,,13.61,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
28.0,Auto Parts Manufacturers Co. Sdn. Bhd.,Padang Meha IE,57.0,11.27,0.98,12.25,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
29.0,Ari Utara Sdn. Bhd.,Bukit Makmur Ind. Park,25.0,11.95,0.0,11.95,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
30.0,Hwa Eik Trading (Kedah) Sdn. Bhd.,Kepala Batas,7.0,11.26,0.0,11.26,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
31.0,Resstone Manufacturing Sdn. Bhd.,Bakar Arang IE,,,,55.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
32.0,Sundesk Venture Sdn Bhd,Sungai Petani IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
33.0,Frisian Biosciences Sdn. Bhd,Kulim High Tech Ind. Park,28.0,,,10.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
34.0,Dinxings (M) Sdn. Bhd.,Yan,100.0,9.22,0.0,9.22,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
35.0,Vital Scale Sdn. Bhd.,Sungai Petani,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
36.0,TJL Marine Sdn Bhd,Gurun IE,15.0,9.06,0.0,9.06,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
37.0,Rico Food Industries Sdn. Bhd.,Lunas,32.0,8.9,0.0,8.9,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
38.0,Jache Sdn. Bhd.,Kulim High Tech Ind. Park,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
39.0,KIJ Excellence Titanium Sdn. Bhd.,Tikam Batu IE,30.0,7.32,0.0,7.32,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
