year,period_type,is_partial_year,geo_scope,sector,breakdown_type,breakdown_value,state,industry,country,location,projects,employment,domestic_rm_million,foreign_rm_million,total_rm_million,data_grain,source_file,source_sheet
2019,year,False,unknown,unknown,location,Alor Star,,,,Alor Star,1.0,125,14.867,0.0,14.867,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Bakar Arang IE,,,,Bakar Arang IE,12.0,688,135.38299999999998,58.182,193.565,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Bedong,,,,Bedong,1.0,108,0.0,93.584,93.584,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Bukit Makmur Ind. Park,,,,Bukit Makmur Ind. Park,1.0,25,11.947,0.0,11.947,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Gurun IE,,,,Gurun IE,2.0,33,9.059999999999999,1.111,10.171,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Kepala Batas,,,,Kepala Batas,1.0,7,11.259,0.0,11.259,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Kuala Ketil IE,,,,Kuala Ketil IE,2.0,40,37.214000000000055,414.78,451.994,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Kulim High Tech Ind. Park,,,,Kulim High Tech Ind. Park,4.0,702,1982.6999999999998,5100.0,7082.7,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Kulim IE,,,,Kulim IE,1.0,96,0.0,18.587,18.587,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Langkawi,,,,Langkawi,2.0,113,905.0,0.0,905.0,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Lunas,,,,Lunas,1.0,32,8.899,0.0,8.899,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Mergong Barrage IE,,,,Mergong Barrage IE,1.0,106,5.701,0.0,5.701,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Padang Meha IE,,,,Padang Meha IE,1.0,57,11.266,0.979,12.245,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Padang Serai,,,,Padang Serai,2.0,1656,0.0,2292.0,2292.0,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Sungai Lalang (MIEL) IE,,,,Sungai Lalang (MIEL) IE,3.0,434,57.514,2.794,60.308,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Sungai Petani,,,,Sungai Petani,8.0,349,127.86200000000001,43.765,171.627,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Sungai Petani IE,,,,Sungai Petani IE,7.0,418,34.787000000000006,60.169,94.956,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Taman Makmur IE,,,,Taman Makmur IE,1.0,30,3.05,0.0,3.05,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Taman Ria Jaya Light IE,,,,Taman Ria Jaya Light IE,1.0,27,17.876,0.0,17.876,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Tikam Batu IE,,,,Tikam Batu IE,1.0,30,7.317,0.0,7.317,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,unknown,unknown,location,Yan,,,,Yan,1.0,100,9.223,0.0,9.223,annual_location,By Factory Location For The Year 2019 (1).xlsx,Location
2019,year,False,malaysia_all_states,unknown,state,Chemical & Chemical Products,Chemical & Chemical Products,,,,5.0,232,47.9548,6.283,54.2378,annual_state,By Industry For The Year 2019 (3).xlsx,Approved Projects By State->Ind
2019,year,False,malaysia_all_states,unknown,state,Electronics & Electrical Products,Electronics & Electrical Products,,,,17.0,1764,2259.642,5179.947,7439.589,annual_state,By Industry For The Year 2019 (3).xlsx,Approved Projects By State->Ind
2019,year,False,malaysia_all_states,unknown,state,Fabricated Metal Products,Fabricated Metal Products,,,,5.0,267,61.170079,23.348,84.518079,annual_state,By Industry For The Year 2019 (3).xlsx,Approved Projects By State->Ind
2019,year,False,malaysia_all_states,unknown,state,Food Manufacturing,Food Manufacturing,,,,3.0,139,29.382,0.0,29.382,annual_state,By Industry For The Year 2019 (3).xlsx,Approved Projects By State->Ind
2019,year,False,malaysia_all_states,unknown,state,Machinery & Equipment,Machinery & Equipment,,,,1.0,106,5.695,0.0,5.695,annual_state,By Industry For The Year 2019 (3).xlsx,Approved Projects By State->Ind
2019,year,False,malaysia_all_states,unknown,state,Miscellaneous,Miscellaneous,,,,1.0,100,0.0005999999999986017,19.565,19.5656,annual_state,By Industry For The Year 2019 (3).xlsx,Approved Projects By State->Ind
2019,year,False,malaysia_all_states,unknown,state,Non-Metallic Mineral Products,Non-Metallic Mineral Products,,,,3.0,80,18.288192000000038,419.006,437.294192,annual_state,By Industry For The Year 2019 (3).xlsx,Approved Projects By State->Ind
2019,year,False,malaysia_all_states,unknown,state,"Paper,Printing & Publishing","Paper,Printing & Publishing",,,,4.0,1834,0.0,2400.984,2400.984,annual_state,By Industry For The Year 2019 (3).xlsx,Approved Projects By State->Ind
2019,year,False,malaysia_all_states,unknown,state,Petroleum Products (Inc. Petrochemicals),Petroleum Products (Inc. Petrochemicals),,,,2.0,42,13.7315,0.0,13.7315,annual_state,By Industry For The Year 2019 (3).xlsx,Approved Projects By State->Ind
2019,year,False,malaysia_all_states,unknown,state,Plastic Products,Plastic Products,,,,4.0,250,30.427999999999997,28.353,58.781,annual_state,By Industry For The Year 2019 (3).xlsx,Approved Projects By State->Ind
2019,year,False,malaysia_all_states,unknown,state,Scientific & Measuring Equipment,Scientific & Measuring Equipment,,,,2.0,149,7.306999999999999,1.874,9.181,annual_state,By Industry For The Year 2019 (3).xlsx,Approved Projects By State->Ind
2019,year,False,malaysia_all_states,unknown,state,Textiles & Textile Products,Textiles & Textile Products,,,,1.0,0,0.675,0.0,0.675,annual_state,By Industry For The Year 2019 (3).xlsx,Approved Projects By State->Ind
2019,year,False,malaysia_all_states,unknown,state,Transport Equipment,Transport Equipment,,,,5.0,188,916.6514,2.09,918.7414,annual_state,By Industry For The Year 2019 (3).xlsx,Approved Projects By State->Ind
2019,year,False,malaysia_all_states,unknown,state,Wood & Wood Products,Wood & Wood Products,,,,1.0,25,0.0,4.5,4.5,annual_state,By Industry For The Year 2019 (3).xlsx,Approved Projects By State->Ind
2020,year,False,kedah_only,manufacturing,country,China,Kedah,,China,,5.0,1742,,1560.494369,,annual_country,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Country
2020,year,False,kedah_only,manufacturing,country,Chinese Taipei,Kedah,,Chinese Taipei,,1.0,103,,22.138,,annual_country,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Country
2020,year,False,kedah_only,manufacturing,country,Hong Kong,Kedah,,Hong Kong,,4.0,594,,301.16,,annual_country,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Country
2020,year,False,kedah_only,manufacturing,country,India,Kedah,,India,,1.0,0,,0.0,,annual_country,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Country
2020,year,False,kedah_only,manufacturing,country,Japan,Kedah,,Japan,,5.0,37,,25.483,,annual_country,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Country
2020,year,False,kedah_only,manufacturing,country,Korea,Kedah,,Korea,,1.0,34,,6.137,,annual_country,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Country
2020,year,False,kedah_only,manufacturing,country,Others,Kedah,,Others,,6.0,22,,8.372,,annual_country,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Country
2020,year,False,kedah_only,manufacturing,country,Samoa,Kedah,,Samoa,,1.0,281,,60.0,,annual_country,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Country
2020,year,False,kedah_only,manufacturing,country,Singapore,Kedah,,Singapore,,3.0,152,,58.14,,annual_country,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Country
2020,year,False,kedah_only,manufacturing,country,Switzerland,Kedah,,Switzerland,,1.0,12,,9.253,,annual_country,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Country
2020,year,False,kedah_only,manufacturing,country,USA,Kedah,,USA,,4.0,552,,205.02,,annual_country,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Country
2020,year,False,kedah_only,manufacturing,industry,Basic Metal Products,Kedah,Basic Metal Products,,,2.0,116,7.0,249.565439,256.56543899999997,annual_industry,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Ind
2020,year,False,kedah_only,manufacturing,industry,Chemicals & Chemical Products,Kedah,Chemicals & Chemical Products,,,4.0,194,51.81,13.94,65.75,annual_industry,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Ind
2020,year,False,kedah_only,manufacturing,industry,Electrical & Electronics,Kedah,Electrical & Electronics,,,12.0,1451,389.721528,293.41859,683.140118,annual_industry,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Ind
2020,year,False,kedah_only,manufacturing,industry,Fabricated Metal Products,Kedah,Fabricated Metal Products,,,10.0,352,114.720478,0.0,114.720478,annual_industry,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Ind
2020,year,False,kedah_only,manufacturing,industry,Food Manufacturing,Kedah,Food Manufacturing,,,9.0,660,271.999256,0.1183,272.117556,annual_industry,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Ind
2020,year,False,kedah_only,manufacturing,industry,Furniture & Fixtures,Kedah,Furniture & Fixtures,,,2.0,61,14.037056,0.37,14.42,annual_industry,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Ind
2020,year,False,kedah_only,manufacturing,industry,Machinery & Equipment,Kedah,Machinery & Equipment,,,7.0,62,12.010301,0.0,12.010301,annual_industry,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Ind
2020,year,False,kedah_only,manufacturing,industry,Miscellaneous,Kedah,Miscellaneous,,,1.0,5,0.0,10.0,10.0,annual_industry,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Ind
2020,year,False,kedah_only,manufacturing,industry,Non-Metallic Mineral Products,Kedah,Non-Metallic Mineral Products,,,1.0,12,0.0,18.144,18.144,annual_industry,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Ind
2020,year,False,kedah_only,manufacturing,industry,"Paper,Printing & Publishing",Kedah,"Paper,Printing & Publishing",,,7.0,1435,0.0,1393.0656,1393.0656,annual_industry,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Ind
2020,year,False,kedah_only,manufacturing,industry,Plastic Products,Kedah,Plastic Products,,,1.0,9,7.095844,0.0,7.095844,annual_industry,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Ind
2020,year,False,kedah_only,manufacturing,industry,Rubber Products,Kedah,Rubber Products,,,2.0,3600,823.5,0.0,823.5,annual_industry,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Ind
2020,year,False,kedah_only,manufacturing,industry,Scientific & Measuring Equipment,Kedah,Scientific & Measuring Equipment,,,4.0,40,41.536467,7.784,49.320467,annual_industry,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Ind
2020,year,False,kedah_only,manufacturing,industry,Textiles & Textile Products,Kedah,Textiles & Textile Products,,,1.0,38,7.0,0.0,7.0,annual_industry,Approval of Manufacturing Projects Year 2020 (Kedah).xlsx,By Ind
